time,fx,fy,fz,mx,my,mz
4.799818992614746094e-02,3.263222445878308231e-02,7.112733754723403121e-03,4.093409810430585771e-02,2.476586707869661997e-03,6.978558952021706851e-04,2.229109681945873420e-03
5.202627182006835938e-02,4.023130274426733877e-02,3.715948688959732314e-03,2.524016167104624342e-02,2.438711382746028104e-03,2.268648564271291863e-03,1.000626868062459707e-03
6.099843978881835938e-02,3.680960351003174230e-02,9.551174079560572489e-03,1.414982954389785129e-02,5.840777881976677360e-04,1.855416577908434572e-03,8.882611661183166920e-04
6.999993324279785156e-02,3.305039397982412197e-02,2.103772327525158913e-04,4.783746130336107710e-02,1.891943352731869201e-03,5.660872030928132403e-04,3.761538791409909104e-04
8.000111579895019531e-02,3.849037434068876273e-02,1.696210075942588061e-02,8.273768015159012335e-02,4.732467136679119162e-03,8.000851380632785503e-03,1.825416018894040040e-03
8.809828758239746094e-02,7.231736245289728526e-02,1.325682776929681950e-02,7.746034162576834192e-02,4.714080702472737473e-04,1.161891859383802801e-02,1.258957420893184456e-03
1.036036014556884766e-01,1.218527044615112659e-01,3.510641049375825152e-03,5.761050823542059052e-02,2.321867380795043529e-03,1.670449696747500212e-02,1.017056366111823652e-04
1.145999431610107422e-01,1.538215987672150731e-01,1.915678315412397761e-02,7.815467408413614980e-02,1.298734217693583168e-03,1.987986238723848942e-02,9.753568396750604162e-04
1.226003170013427734e-01,1.795061179073215440e-01,1.921956026300932624e-02,1.240191567721391636e-01,1.552988667090045684e-03,2.283956333706528563e-02,4.545920874566474206e-05
1.316015720367431641e-01,1.322035850400297419e-01,8.987148259694587027e-02,1.612814307647546797e-01,1.040350633225166702e-02,1.750449033216575426e-02,4.705690013548332381e-04
1.406002044677734375e-01,5.973147327593177069e-02,5.256524206249035130e-02,1.853754723662345838e-01,6.724053624319973992e-03,1.172984738052892766e-02,1.152454705751981780e-04
1.496005058288574219e-01,9.727972614805509288e-02,6.899559024035776394e-03,2.330897574766391811e-01,6.998757287117148614e-04,1.619876960492379683e-02,4.524222017121992570e-04
