time,fx,fy,fz,mx,my,mz
3.109359741210937500e-02,2.542234090539707836e-02,4.344901311603119320e-02,1.612237883871116967e-02,6.386955682673682057e-03,3.480549491177094539e-03,1.825723501125568250e-04
4.359889030456542969e-02,4.948784400273590657e-03,4.822714643112486349e-02,2.385661242820091843e-02,7.511720777640817567e-03,1.030872337924648773e-04,1.988440687194910957e-03
4.859900474548339844e-02,5.333074398556429327e-03,2.701321880547737780e-02,4.692962361576865499e-02,5.370664655699286354e-03,6.935347170269186247e-04,2.692034366202555960e-03
5.887603759765625000e-02,3.018278219508872123e-02,1.598243947728690204e-02,2.547137965115027144e-02,2.607795569974176789e-03,2.814037045286236702e-03,5.495649618735173360e-03
6.449341773986816406e-02,4.753109478151244793e-02,1.628022701280826962e-02,3.114773972914453709e-02,2.395412810836994311e-03,5.267910436193398022e-03,4.931463577606587205e-03
7.569217681884765625e-02,6.425062445211555950e-02,2.448933088731735166e-02,2.011920795837293316e-02,3.443266191009541899e-03,7.083940801775382573e-03,3.800156607916941893e-03
8.103823661804199219e-02,7.296425689781051160e-02,5.680679735758265708e-02,1.824350831394122921e-02,6.468771127598138548e-03,8.490880555926802117e-03,3.245089229596897964e-03
9.068632125854492188e-02,5.078157341699759963e-02,1.069670821229327801e-01,1.109580276476082872e-01,1.204315372443088422e-02,6.004953351713293412e-03,2.933655513300070707e-03
9.662842750549316406e-02,6.711375011947780245e-02,1.394407277853242644e-01,1.388228504777591354e-01,1.661904719936740590e-02,7.839137716725553401e-03,1.333104993589229225e-03
1.056933403015136719e-01,7.823883012852306251e-02,1.342812845974615810e-01,1.411737505310661223e-01,1.493466975061098941e-02,9.485582957968752282e-03,1.170392599993134520e-03
1.121454238891601562e-01,7.953584007097992681e-02,8.841548360659363948e-02,7.690211739277283409e-02,9.601385774968622736e-03,1.101572497194315721e-02,7.433205113422491472e-04
1.228351593017578125e-01,8.983106517599472041e-02,6.123622750457684283e-02,1.370279897213649289e-01,6.706613885431107931e-03,1.170848998209261110e-02,1.823873515913287946e-03
1.269183158874511719e-01,1.000700245611443051e-01,6.212782475531971466e-02,9.694419822375195672e-02,5.278446992264207438e-03,1.335781183297878733e-02,1.551527360996107817e-03
1.384272575378417969e-01,5.807674039828090995e-02,6.773495656035730117e-02,6.165529026629883169e-02,6.564964287044716511e-03,8.941110964453801921e-03,1.524871243435299605e-03
1.434340476989746094e-01,9.901272705463787238e-02,8.600908128494069715e-02,2.206010080623836342e-02,8.789441259630237716e-03,1.399250845805333904e-02,3.608646067831629712e-03
1.548492908477783203e-01,1.124241560871574591e-01,1.218335817179332509e-01,8.245002223006873965e-02,1.385709174062768091e-02,1.459866933515066058e-02,6.044326100502583725e-03
1.608490943908691406e-01,1.168664186549297768e-01,5.173824398561256005e-02,2.079350102704703718e-02,5.286850133654160712e-03,1.329124053369104032e-02,6.185856968487583527e-03
1.711759567260742188e-01,1.061873527063283973e-01,1.307986911584654030e-03,5.566526185367545732e-02,1.043058671297044347e-03,1.125732845488262336e-02,5.529604779571961268e-03
1.761763095855712891e-01,9.282124763308274851e-02,9.463649124918068270e-03,6.169923111389982034e-02,2.780436451369124647e-03,1.104042636513088808e-02,4.065632499273090332e-03
1.876952648162841797e-01,8.742403087832570363e-02,1.515200448799684232e-03,9.854065772503943499e-02,2.913780760947008459e-03,1.133594500507986887e-02,3.135060436545996244e-03
1.926989555358886719e-01,1.265249206300256557e-01,5.565861568586522728e-02,1.486657094690414793e-01,9.871090298440540409e-03,1.518693899923954406e-02,5.078345685778496224e-03
2.024464607238769531e-01,9.275907903954726252e-02,5.649003311784639436e-02,1.910101999983533916e-01,8.912092528413080583e-03,1.183287147823562473e-02,5.885731351259278557e-03
2.194182872772216797e-01,1.121994466525002565e-01,1.968505552478111084e-02,1.533210593432743907e-01,4.732073425955244869e-03,1.479394397350530105e-02,7.370468067592043752e-03
2.254040241241455078e-01,1.114725224088476269e-01,7.087289550607968336e-02,1.912046589416954989e-01,1.054944286062185592e-02,1.432194908636074543e-02,7.145189920360521009e-03
2.341985702514648438e-01,1.491288959750436960e-01,8.724043485744961690e-02,1.717643426624782532e-01,1.268719460478416432e-02,1.700493461839691633e-02,9.846657069922774147e-03
2.405481338500976562e-01,9.374027917814800603e-02,6.797311612885105492e-02,1.320494060252684621e-01,1.006067342827782554e-02,1.104498375988325308e-02,9.359778780373920887e-03
2.497839927673339844e-01,1.101533548463862616e-01,8.608830317387372588e-02,1.499917228031013849e-01,1.230941747666148417e-02,1.278543749668930793e-02,7.911068924852434486e-03
2.557840347290039062e-01,9.083666092784005441e-02,1.587013736472314973e-01,1.109323868175704775e-01,2.008690305520251587e-02,1.013140303736874762e-02,9.587863311350700718e-03
2.666878700256347656e-01,6.733557011507139423e-02,1.283757056675957076e-01,1.287255665696205031e-01,1.728223517169234780e-02,8.258116193957887319e-03,1.032320765497702839e-02
2.736966609954833984e-01,6.293927295573500946e-02,1.670983703797138675e-01,1.430489634107521002e-01,2.321579981526292538e-02,8.074835664047800080e-03,8.909956883125147789e-03
2.817397117614746094e-01,1.013521172370062187e-02,1.957486971697354194e-01,1.489083092939002539e-01,2.920692951361830367e-02,1.018815671859233784e-03,8.576166134393254856e-03
2.897417545318603516e-01,1.412943777376061798e-02,1.756720307890835275e-01,1.496059335618345754e-01,2.785064158161591405e-02,2.379142147932726287e-03,1.224698873253828209e-02
2.976939678192138672e-01,4.874554587674708589e-02,1.106930922839438891e-01,1.705743908527082853e-01,1.976395422963482529e-02,5.627170515210607599e-03,1.570634578167269882e-02
3.046946525573730469e-01,2.817808440875448073e-02,1.122884632027194157e-01,1.745783213318010951e-01,2.000866339163997337e-02,1.789601742652087869e-03,1.767237903925777259e-02
3.147199153900146484e-01,2.427652461419474786e-02,1.141406926287307499e-01,1.880114639184028991e-01,1.973242156018866281e-02,1.855997709601231362e-03,1.481004694427932693e-02
3.217372894287109375e-01,2.653934763790743914e-03,1.407680411346106664e-01,2.005263564707249202e-01,2.246359776090933735e-02,1.945344133735667615e-03,1.292317587042350092e-02
3.302357196807861328e-01,2.290168557569790056e-02,1.463947923823255282e-01,2.547669635924399989e-01,2.090058538718171308e-02,1.151676088479680529e-03,1.209428703845397308e-02
3.362362384796142578e-01,3.028188430608788270e-02,2.035412611805308414e-01,1.630055909321363461e-01,2.717284886966027033e-02,1.337701375906519188e-03,8.365007127132617626e-03
3.455982208251953125e-01,4.013857891829341468e-02,2.327745689630622283e-01,1.979021135430928668e-01,3.102798275651744500e-02,2.393210978496200080e-03,4.592598060376174365e-03
3.526010513305664062e-01,5.770896142431022890e-02,2.618030176518322261e-01,1.958619868740854031e-01,3.297811358414316774e-02,9.681981122061037587e-03,4.504159519296487522e-03
3.625974655151367188e-01,3.467440930754387557e-02,1.688154654804009114e-01,2.780846660825765926e-01,2.251502778388498813e-02,9.091616966969029434e-03,3.237750679681476208e-03
3.705971240997314453e-01,8.256287849099995524e-02,1.738148224307380363e-01,2.750777765974011801e-01,2.400757564360045393e-02,1.420324215454809788e-02,3.787709558224368854e-03
3.785977363586425781e-01,9.733582326879168523e-02,1.824479889902183571e-01,3.563485851210579369e-01,2.381543027770725157e-02,1.734582480808559771e-02,4.235629971746816130e-03
3.835978507995605469e-01,8.800190557528750346e-02,2.240387038705340672e-01,4.211167517968952834e-01,2.926533875901616427e-02,1.718400335343745269e-02,3.837172525254691543e-03
3.938150405883789062e-01,1.362708968436552592e-01,2.656642084609136534e-01,4.562649347217108131e-01,3.597955984330265117e-02,2.325334817697177064e-02,1.008570337218757775e-03
3.998146057128906250e-01,2.164031670434740928e-01,3.027046909273868325e-01,3.838084723641211893e-01,4.092899279715733057e-02,3.151836560529457792e-02,4.158637424352621369e-03
4.108152389526367188e-01,1.698320704977485662e-01,2.367382431808905952e-01,4.352829754664438444e-01,3.267141853518627098e-02,2.372816719060915139e-02,2.112249699717120687e-03
4.158170223236083984e-01,1.503702867794136921e-01,1.573805649366050718e-01,4.132027483334567708e-01,2.147548242482546360e-02,1.966449616249897614e-02,9.587898904675225655e-04
4.267785549163818359e-01,1.052567785870645450e-01,1.384107675436813678e-01,3.890313496971389839e-01,1.823268360185868742e-02,1.556107600625851115e-02,1.977997209433768507e-03
