time,fx,fy,fz,mx,my,mz
4.699635505676269531e-02,4.299585237508528335e-02,3.097008766412490816e-02,8.207457119428813661e-03,3.503212490946812623e-03,4.127890377233859980e-03,1.204127787850817286e-03
5.099630355834960938e-02,1.074531024237875519e-02,7.033289898925450430e-03,2.699425905806715140e-02,1.833143934151297083e-03,1.176490495908192636e-03,4.966064550187295314e-04
6.101202964782714844e-02,1.151664938163203013e-02,9.540652061724112093e-03,1.081566069176010531e-02,2.138741793641566954e-03,1.000363808331158075e-03,5.158014241827934675e-04
6.899738311767578125e-02,1.113578807782114183e-01,4.486023435779647878e-02,4.219720100960178827e-02,5.627609731835114641e-03,1.144145436581853019e-02,2.449878534021602498e-04
8.022236824035644531e-02,1.503932186764489753e-01,6.920270044123763564e-02,3.715623566219742897e-03,7.993299328988770838e-03,1.557426689100998088e-02,1.256717628419797396e-03
8.822417259216308594e-02,1.844951977592557968e-01,1.183838945551935751e-01,1.058083008994117370e-02,1.343471495295898814e-02,2.080639735980610930e-02,5.040953559400189292e-03
9.772586822509765625e-02,1.638439605466631976e-01,1.335554452129893432e-01,4.202988298242450044e-02,1.519695579158426499e-02,1.950459729436243919e-02,4.752180831194567114e-03
1.057276725769042969e-01,1.598170787041198193e-01,1.147198911310600977e-01,2.815465986496619097e-02,1.338139874953944534e-02,1.970800276412193811e-02,3.064619022547754226e-03
1.147274971008300781e-01,1.469697972168736155e-01,1.248991020251362244e-01,3.295400187540641068e-02,1.340712240217983506e-02,1.854674723593652957e-02,3.775767319514633687e-03
1.237282752990722656e-01,2.453525216016913535e-01,1.434518349899230882e-01,1.607828424677819681e-02,1.521201922320347677e-02,2.863738960233330744e-02,8.955580794217876889e-04
1.327276229858398438e-01,2.112258097109789845e-01,1.920100046937439631e-01,9.497985751714874136e-02,1.990422864115858059e-02,2.352394519811721804e-02,3.945129468384174780e-04
1.417284011840820312e-01,2.259509987347039783e-01,1.403392596412601223e-01,4.487650461527247642e-02,1.304254845309286460e-02,2.676407940652231546e-02,7.401547389040234455e-05
1.497287750244140625e-01,2.097711355184602722e-01,1.405011802344835192e-01,6.101373221595641355e-02,1.266502240059210783e-02,2.449845329102336502e-02,2.197275944803293597e-03
1.617279052734375000e-01,2.070667778245950386e-01,1.488851956389202202e-01,6.103341100766428162e-02,1.411281342389738604e-02,2.352949717366973129e-02,8.627645074293551484e-05
1.717290878295898438e-01,2.208837544340184478e-01,1.044936143732959066e-01,6.634222794416734514e-02,8.574610218356799526e-03,2.537813121780616715e-02,2.118481355423273895e-03
