time,Filtered_Torque_Signal
2.016599416732788086e+00,4.818589261893396758e-01
2.025599002838134766e+00,4.857912098840272974e-01
2.034599065780639648e+00,4.897165549098457249e-01
2.042600154876708984e+00,4.936849036532904300e-01
2.052599430084228516e+00,4.977187321656681984e-01
2.060599803924560547e+00,5.018103413659770196e-01
2.069599151611328125e+00,5.059589288327374090e-01
2.078599452972412109e+00,5.101719206817219021e-01
2.087599754333496094e+00,5.144259509465275437e-01
2.096600294113159180e+00,5.187303524008003430e-01
2.104604721069335938e+00,5.230657880668083681e-01
2.113605737686157227e+00,5.274624941531599331e-01
2.122111558914184570e+00,5.319178843742879970e-01
2.131111145019531250e+00,5.363790087372132254e-01
2.140134096145629883e+00,5.408539728415275860e-01
2.148112058639526367e+00,5.454101527874064548e-01
2.159111976623535156e+00,5.500003943134827988e-01
2.167110919952392578e+00,5.546172057891624041e-01
2.176112174987792969e+00,5.592695572140382598e-01
2.184110879898071289e+00,5.639324332767107206e-01
2.194110870361328125e+00,5.686229557764692633e-01
2.202112436294555664e+00,5.733654531802762078e-01
2.212111711502075195e+00,5.781399300740536207e-01
2.220829010009765625e+00,5.829680587146450765e-01
2.231830120086669922e+00,5.878173915111308823e-01
2.240902900695800781e+00,5.926567667019115859e-01
2.248814582824707031e+00,5.975646644009472430e-01
2.257814645767211914e+00,6.025260719799196973e-01
2.266814470291137695e+00,6.075384023600565175e-01
2.275821447372436523e+00,6.126004084495981772e-01
2.283814430236816406e+00,6.176596029846455060e-01
2.295840501785278320e+00,6.227239465554539333e-01
2.303819894790649414e+00,6.278455724834044460e-01
2.312818288803100586e+00,6.329977295095678969e-01
2.322427988052368164e+00,6.381863963111468196e-01
2.332438468933105469e+00,6.434029285302688139e-01
2.341428995132446289e+00,6.486452855273463491e-01
2.349427700042724609e+00,6.539026537806756911e-01
2.358427286148071289e+00,6.592125909139440187e-01
2.368427038192749023e+00,6.645769229401197187e-01
2.377963066101074219e+00,6.700028423980430858e-01
2.385963439941406250e+00,6.754623293906655279e-01
2.394994020462036133e+00,6.809729327669927779e-01
2.404070854187011719e+00,6.865481581955980017e-01
2.412071466445922852e+00,6.921684906587761699e-01
2.421758174896240234e+00,6.978247689279084565e-01
2.430758237838745117e+00,7.035192205140291533e-01
2.439800262451171875e+00,7.092646357468869178e-01
2.447768449783325195e+00,7.150440439251228852e-01
2.455764770507812500e+00,7.208925284845456583e-01
2.464757680892944336e+00,7.267685187693873061e-01
2.475808620452880859e+00,7.326775410872637950e-01
2.482758283615112305e+00,7.386221371180927697e-01
2.492758035659790039e+00,7.446205043098879095e-01
2.500758171081542969e+00,7.506566724156980008e-01
2.510774135589599609e+00,7.567153610639937300e-01
2.518335819244384766e+00,7.628303890600648396e-01
2.527335882186889648e+00,7.689832580268982642e-01
2.536335468292236328e+00,7.751397442566009266e-01
2.545335769653320312e+00,7.813229470798185305e-01
2.554335594177246094e+00,7.875878133002713888e-01
2.563334941864013672e+00,7.938821450084797560e-01
2.572335720062255859e+00,8.002091162881138642e-01
2.581335306167602539e+00,8.065574423680388350e-01
2.591336727142333984e+00,8.129269261857970941e-01
2.599335193634033203e+00,8.193009011772712791e-01
2.609432697296142578e+00,8.257033411288327018e-01
2.617995977401733398e+00,8.321185953413527958e-01
2.626936912536621094e+00,8.385317332155993730e-01
2.634936809539794922e+00,8.449232638144731355e-01
2.643949270248413086e+00,8.513138975937514230e-01
2.652935504913330078e+00,8.577256798888877043e-01
2.661935091018676758e+00,8.641350333209141255e-01
2.669935464859008789e+00,8.705571203542580294e-01
2.678935289382934570e+00,8.769726817070637725e-01
2.686935663223266602e+00,8.833912743363362408e-01
2.696935415267944336e+00,8.898225429258633801e-01
2.705952644348144531e+00,8.962606639789522101e-01
2.714937210083007812e+00,9.026938176809672365e-01
2.725423574447631836e+00,9.091277373217598878e-01
2.733402967453002930e+00,9.155894630783916188e-01
2.742402315139770508e+00,9.220467149276340146e-01
2.751404285430908203e+00,9.285550001583713353e-01
2.761453390121459961e+00,9.350426268854842293e-01
2.769403457641601562e+00,9.415430858073500220e-01
2.778413772583007812e+00,9.480882137394024411e-01
2.787402391433715820e+00,9.545901501215776630e-01
2.796402454376220703e+00,9.611118215693016387e-01
2.805498123168945312e+00,9.676751517575379324e-01
2.814498186111450195e+00,9.742491671641704265e-01
2.824002742767333984e+00,9.808100169680166180e-01
2.832002878189086914e+00,9.873675733228061135e-01
2.842004537582397461e+00,9.939185939084420607e-01
2.850003004074096680e+00,1.000477514816660252e+00
2.860002756118774414e+00,1.007030540519972872e+00
2.868003606796264648e+00,1.013621686324338356e+00
2.877003908157348633e+00,1.020183494460924267e+00
2.887005805969238281e+00,1.026730714540778022e+00
2.897004127502441406e+00,1.033278043195904994e+00
2.906006574630737305e+00,1.039826830294840576e+00
2.914006471633911133e+00,1.046368906846498525e+00
2.923518180847167969e+00,1.052908634515323127e+00
2.932511806488037109e+00,1.059432407021809075e+00
2.941510438919067383e+00,1.065944420064224518e+00
2.950510025024414062e+00,1.072453181581525472e+00
2.959529161453247070e+00,1.078960704212288624e+00
2.967777490615844727e+00,1.085435379475812701e+00
2.977776765823364258e+00,1.091906555498271869e+00
2.986776828765869141e+00,1.098352700914890123e+00
2.995778799057006836e+00,1.104788631804871857e+00
3.004873514175415039e+00,1.111209730016021080e+00
3.012873172760009766e+00,1.117634651631042475e+00
3.021376609802246094e+00,1.124022640584849020e+00
3.031396389007568359e+00,1.130394098260302460e+00
3.041397094726562500e+00,1.136763288814444106e+00
3.049377679824829102e+00,1.143101285191998606e+00
3.059377431869506836e+00,1.149468273305525701e+00
3.070376634597778320e+00,1.155830019886783688e+00
3.080384492874145508e+00,1.162163488065422801e+00
3.089377641677856445e+00,1.168465625598333002e+00
3.098379611968994141e+00,1.174750570947327599e+00
3.107492685317993164e+00,1.181048468256638007e+00
3.115482330322265625e+00,1.187331843976274115e+00
3.124985218048095703e+00,1.193591899043347837e+00
3.133991479873657227e+00,1.199824160003884588e+00
3.142985820770263672e+00,1.206026602681327109e+00
3.151985168457031250e+00,1.212158092018309041e+00
3.160985231399536133e+00,1.218275275765817955e+00
3.169985055923461914e+00,1.224364507444199335e+00
3.179001569747924805e+00,1.230443668377834809e+00
3.189013242721557617e+00,1.236551520409691518e+00
3.196985483169555664e+00,1.242617471617017966e+00
3.206988096237182617e+00,1.248661566080699670e+00
3.214987516403198242e+00,1.254702260653765222e+00
3.224493265151977539e+00,1.260720738775652716e+00
3.233493328094482422e+00,1.266727981096646083e+00
3.242493152618408203e+00,1.272707520485937494e+00
3.251493453979492188e+00,1.278658329463949306e+00
3.260493278503417969e+00,1.284635717805255872e+00
3.269493341445922852e+00,1.290624157328698507e+00
3.279494524002075195e+00,1.296626144240409451e+00
3.287495136260986328e+00,1.302612530060691665e+00
3.296494722366333008e+00,1.308586187144225477e+00
3.305495500564575195e+00,1.314554381492995860e+00
3.314499139785766602e+00,1.320521081078534609e+00
3.324152946472167969e+00,1.326508171970126382e+00
3.332153320312500000e+00,1.332467213650099902e+00
3.341152191162109375e+00,1.338412734006664273e+00
3.350154161453247070e+00,1.344346069404690924e+00
3.358154296875000000e+00,1.350280514845119573e+00
3.368153572082519531e+00,1.356184889916505876e+00
3.377154588699340820e+00,1.362082662463029337e+00
3.385152816772460938e+00,1.368003764699612157e+00
3.394152164459228516e+00,1.373914120568330732e+00
3.403156280517578125e+00,1.379821658437703658e+00
3.413153886795043945e+00,1.385678673122384463e+00
3.421655893325805664e+00,1.391545611526647797e+00
3.430114746093750000e+00,1.397387539765118314e+00
3.440114736557006836e+00,1.403198613976390341e+00
3.448119401931762695e+00,1.408989069158432583e+00
3.457114458084106445e+00,1.414754206291160887e+00
3.465121507644653320e+00,1.420512659831887348e+00
3.475114583969116211e+00,1.426248741155983213e+00
3.482114553451538086e+00,1.431930701087070101e+00
3.492115259170532227e+00,1.437588687357058470e+00
3.500114440917968750e+00,1.443204887323914720e+00
3.510119199752807617e+00,1.448839756478881524e+00
3.517622470855712891e+00,1.454464556862244740e+00
3.526622772216796875e+00,1.460071832033924100e+00
3.535622358322143555e+00,1.465647142288311500e+00
3.543623208999633789e+00,1.471187933716441520e+00
3.553622961044311523e+00,1.476726043330889082e+00
3.562622547149658203e+00,1.482235305500124944e+00
3.571622371673583984e+00,1.487711970997450894e+00
3.579638719558715820e+00,1.493183830164727999e+00
3.588628053665161133e+00,1.498629997235111810e+00
3.598938941955566406e+00,1.504059398338257303e+00
3.608035802841186523e+00,1.509468323991124850e+00
3.616533756256103516e+00,1.514849988199747921e+00
3.625538349151611328e+00,1.520199531951081928e+00
