time,Filtered_Torque_Signal
3.109359741210937500e-02,1.628157247584913897e-02
4.359889030456542969e-02,1.650848962516442142e-02
4.859900474548339844e-02,1.671171253270021737e-02
5.887603759765625000e-02,1.692133014377549330e-02
6.449341773986816406e-02,1.712347952949034441e-02
7.569217681884765625e-02,1.734476663711023367e-02
8.103823661804199219e-02,1.757249588945157537e-02
9.068632125854492188e-02,1.778060065054664490e-02
9.662842750549316406e-02,1.798823687007910371e-02
1.056933403015136719e-01,1.819635453370700359e-02
1.121454238891601562e-01,1.839427174089193137e-02
1.228351593017578125e-01,1.855415156794633369e-02
1.269183158874511719e-01,1.872513575221517595e-02
1.384272575378417969e-01,1.887898867881167980e-02
1.434340476989746094e-01,1.902977478057188768e-02
1.548492908477783203e-01,1.918641902583549663e-02
1.608490943908691406e-01,1.933804998624464450e-02
1.711759567260742188e-01,1.949396865843195867e-02
1.761763095855712891e-01,1.963875479790262377e-02
1.876952648162841797e-01,1.978560537394734309e-02
1.926989555358886719e-01,1.995741418222892957e-02
2.024464607238769531e-01,2.014505398722182469e-02
2.194182872772216797e-01,2.032770284830088398e-02
2.254040241241455078e-01,2.050999524030540019e-02
2.341985702514648438e-01,2.068004446832550497e-02
2.405481338500976562e-01,2.083650082119334335e-02
2.497839927673339844e-01,2.098799602142525228e-02
2.557840347290039062e-01,2.112770518775389239e-02
2.666878700256347656e-01,2.126756194427392374e-02
2.736966609954833984e-01,2.138273204743883216e-02
2.817397117614746094e-01,2.149407298461462543e-02
2.897417545318603516e-01,2.162865774312821426e-02
2.976939678192138672e-01,2.179111051370986180e-02
3.046946525573730469e-01,2.195058658009045247e-02
3.147199153900146484e-01,2.213349310325621322e-02
3.217372894287109375e-01,2.230387573732035833e-02
3.302357196807861328e-01,2.249026278176091687e-02
3.362362384796142578e-01,2.269175268480509711e-02
3.455982208251953125e-01,2.289562026400451464e-02
3.526010513305664062e-01,2.308984870611831622e-02
3.625974655151367188e-01,2.330548579144214871e-02
3.705971240997314453e-01,2.353530703156277507e-02
3.785977363586425781e-01,2.377342182820064986e-02
3.835978507995605469e-01,2.401767151459826416e-02
3.938150405883789062e-01,2.428716043277921732e-02
3.998146057128906250e-01,2.454347901681375871e-02
4.108152389526367188e-01,2.479511129220737103e-02
4.158170223236083984e-01,2.504647862978653244e-02
4.267785549163818359e-01,2.532363922396889400e-02
4.426958560943603516e-01,2.561272133877282725e-02
4.486956596374511719e-01,2.590188251734072342e-02
4.590559005737304688e-01,2.618347724535457013e-02
4.640343189239501953e-01,2.647492517458037778e-02
4.740257263183593750e-01,2.675407402639507631e-02
