Excursion,Load_1,Load_2,Load_3
0.000,0.00,0.0,0.0
10.000,13.831,13.711,13.628
20.000,20.344,19.963,19.675
30.000,25.479,25.133,24.855
40.000,27.058,26.803,26.583
50.000,28.830,28.522,28.273
53.000,27.887,27.735,27.612
