time,fx,fy,fz,mx,my,mz
2.751278877258300781e-02,6.085826845296083039e-03,4.144219611306567547e-02,1.233352273412317325e-02,5.951678054782524180e-03,1.218848725856277099e-04,1.051726995285706722e-03
3.250527381896972656e-02,4.990580178476022866e-02,2.458174968702072152e-03,2.784097971987383510e-03,6.490299973954449580e-04,4.094580642772008804e-03,1.686899790761930929e-03
3.850579261779785156e-02,1.055785797884868232e-01,4.322159742625899387e-02,5.168246864015368230e-02,4.926620434325634963e-03,1.108760564671724611e-02,2.950115524022652643e-03
4.750418663024902344e-02,1.144920587328466383e-01,2.144810792540331051e-02,2.834467695268472198e-02,4.159526612289236001e-03,1.291820674754687488e-02,6.433813140743952982e-03
5.350947380065917969e-02,1.496393253113663946e-01,4.539741536928024179e-02,6.117366545792724680e-02,4.769393997662341005e-03,1.602668841664704399e-02,7.825448656911785858e-03
6.350445747375488281e-02,1.562819456784569072e-01,5.679253687608584039e-02,9.316940490126886243e-02,5.416411835175753524e-03,1.697351028811843604e-02,7.901004184938952707e-03
7.050442695617675781e-02,1.674305799927954808e-01,8.985216920196184565e-02,7.485233092171389435e-02,9.929140166997581923e-03,1.936188787202818701e-02,8.115587954142607433e-03
7.950448989868164062e-02,1.413692803350774796e-01,1.094842186695738490e-01,1.298878930235135842e-01,1.259173085335737845e-02,1.804339251520016563e-02,8.603568371795175182e-03
8.550429344177246094e-02,1.212874312763355250e-01,1.404767768704545117e-01,9.865064367832587777e-02,1.719844325787468764e-02,1.509575121514226091e-02,6.565804746674327140e-03
9.550428390502929688e-02,8.753743784672576855e-02,1.530736943488292812e-01,3.415386658823417465e-02,1.825200892501227870e-02,1.265001159347973678e-02,7.234292365821337438e-03
1.015176773071289062e-01,1.092855923270554114e-01,2.000090964542896588e-01,3.776959209536864814e-02,2.464936056571313469e-02,1.630565394207117436e-02,8.752846498374423218e-03
1.115181446075439453e-01,6.042046339428257945e-02,1.804279756106955401e-01,3.876970135106224367e-03,2.169840540799719900e-02,1.054904612698277441e-02,8.416875665820826302e-03
1.170334815979003906e-01,7.661545469609194747e-02,1.811947873317734659e-01,3.716916933294574666e-03,2.141702465722315762e-02,1.340854992531343229e-02,9.931182770870794485e-03
1.270339488983154297e-01,9.609378360196411950e-02,1.688613711154838826e-01,6.331160187366672264e-03,1.961789792150655035e-02,1.540669865202684043e-02,1.028756209527652635e-02
1.330335140228271484e-01,1.117939276215634409e-01,1.609443765193764309e-01,1.470103815057844515e-02,1.921583678632826989e-02,1.812566658669053157e-02,1.157704530538703445e-02
1.430342197418212891e-01,1.275281966926944677e-01,1.640580359696234836e-01,2.388331808687643373e-02,2.037285680907991933e-02,1.976171386313126457e-02,1.106000710575150842e-02
1.498484611511230469e-01,1.445455718855022664e-01,1.008658027060889140e-01,1.007123848724518142e-02,1.250930414271600455e-02,2.293481445923012743e-02,1.191137793310061317e-02
1.598482131958007812e-01,1.126779853910267748e-01,7.122456046133293639e-02,2.965622438689171150e-02,8.781088567318384372e-03,2.022109172188613080e-02,1.159582280671158684e-02
1.658489704132080078e-01,9.348377836736633528e-02,6.192761855975229685e-02,1.589383603315042137e-02,8.520228764818208247e-03,1.896584054047627602e-02,1.236812713587932995e-02
1.748569011688232422e-01,1.500858517123448421e-01,7.177824082920901405e-02,1.521835211781995094e-02,9.357344062879373661e-03,2.378390406398307386e-02,1.667547417213900013e-02
1.808545589447021484e-01,1.355162713967563437e-01,6.461495095973029956e-02,4.736287459967627317e-02,8.997634621194036328e-03,2.411177358461421075e-02,1.441069620143338101e-02
1.908571720123291016e-01,1.249212802438639386e-01,4.884557538575222402e-02,1.399132064876672070e-02,7.213160727580240558e-03,2.368186710284259783e-02,1.616083321755428306e-02
1.978480815887451172e-01,8.958581256345148069e-02,5.834486550099834967e-02,6.024727464457768633e-02,8.798391383516996830e-03,2.154258809425895968e-02,1.529541461988679317e-02
2.083458900451660156e-01,1.073453598086588356e-01,5.984009623278628565e-02,1.003435714763606795e-01,7.845931467580473037e-03,2.287138742251751747e-02,1.519836571719817078e-02
2.138619422912597656e-01,7.020262541549844582e-02,1.153845322295879300e-01,4.714866723964590556e-02,1.534582268829325427e-02,1.888958425938372723e-02,1.309639774628859783e-02
2.234861850738525391e-01,4.256865184315531542e-02,1.851237599584758808e-01,1.156508301805890364e-02,2.550003308621201156e-02,1.511719000176188141e-02,1.522252869388913618e-02
2.284936904907226562e-01,2.525488395728068408e-02,2.026508786744647128e-01,2.072777619175359548e-02,2.684354699019060250e-02,1.438400143196347757e-02,1.621940244618382682e-02
2.391588687896728516e-01,1.091801029604392605e-03,2.417133195206479512e-01,1.650199463206500003e-02,3.080423119504717422e-02,1.190495881338260453e-02,1.602737538294045014e-02
2.558245658874511719e-01,2.166749262299051682e-02,2.563320569283291661e-01,9.777636580356604060e-03,3.137881952287824988e-02,1.424818620124674098e-02,1.589429349437153360e-02
2.618701457977294922e-01,3.905915063399246351e-02,2.655986724826935874e-01,1.043834753561346390e-02,3.217168331456647656e-02,1.574644466082832789e-02,1.958164448479344025e-02
2.717475891113281250e-01,4.573176133748546937e-03,2.049710023900412070e-01,2.077094226954727743e-02,2.392050454837638465e-02,1.473978625169927205e-02,1.562772327877163039e-02
2.767529487609863281e-01,1.561480888213940404e-02,3.283234568323445957e-01,8.729322950523771274e-02,3.881927696696318292e-02,1.144472292805966303e-02,1.698457418046627615e-02
2.877464294433593750e-01,7.371615201226475178e-02,3.576615424848663682e-01,1.784303466585048514e-01,4.230875574604547190e-02,3.455813512148431157e-03,1.633398446126346076e-02
2.937443256378173828e-01,7.600115008536434402e-02,3.139489948938139485e-01,1.574707442996171325e-01,3.872967131151619502e-02,3.215145810583397261e-03,1.452011520621077773e-02
3.037593364715576172e-01,1.087518748050217282e-01,2.491249438974359465e-01,2.123620091597490100e-01,3.142034378167579689e-02,5.425081672707350545e-04,1.300428755180707725e-02
3.097681999206542969e-01,1.200758183507830978e-01,1.640200262041308921e-01,2.537325574308906817e-01,2.150805284003300816e-02,7.410339932441001309e-04,1.374380704328729587e-02
