time,fx,fy,fz,mx,my,mz
2.701830863952636719e-02,1.100296136340178990e-02,3.416803235592359017e-02,5.797588208126095571e-03,3.441818183973784692e-03,5.268664499803824572e-04,2.937749351905664680e-03
3.152203559875488281e-02,3.825231668407980232e-04,2.096411000479747599e-03,6.616683961939647668e-03,4.995822939197462230e-04,1.041252702535781392e-03,5.321495592370191832e-03
4.092884063720703125e-02,1.571440058063255235e-02,3.072219285142949868e-02,4.656294401733258176e-02,3.052933582692081947e-03,3.361007256827530762e-04,6.525423065072259027e-03
4.792904853820800781e-02,2.141415156156713240e-02,4.755661976423795206e-02,7.088522288189433307e-02,5.681997205421633092e-03,4.253844271602454617e-03,3.616029330256479921e-03
5.792880058288574219e-02,1.095643822003798500e-02,5.008027140579163899e-02,7.124036212210427266e-02,6.273163882222654308e-03,8.846737345160911705e-04,3.603240251888184531e-03
6.392931938171386719e-02,1.406322449488849741e-02,8.709370831079278619e-02,7.980743175995594352e-02,1.219051682285356326e-02,1.645848381353509529e-04,4.001059421791334776e-04
7.449364662170410156e-02,2.592980305056092477e-02,1.231486311434413922e-01,2.074926646134637662e-02,1.660990666281788111e-02,2.038363804776836385e-03,7.945300871020559257e-04
7.949304580688476562e-02,7.884019910522503671e-02,1.183535653398171406e-01,2.682401047655010636e-04,1.576183376984315390e-02,6.106181474096879398e-03,1.163061805344275029e-04
8.949303627014160156e-02,1.277441089346684211e-01,1.503509206435083567e-01,1.799505612854090898e-03,2.019757433244097344e-02,1.139078307665554630e-02,4.288023112931267926e-04
9.549307823181152344e-02,1.526315132466771474e-01,1.872771933600892169e-01,1.121964008950664948e-01,2.636457579748281363e-02,1.186694861478123676e-02,3.145971229131472487e-03
1.054928302764892578e-01,1.469304175447559146e-01,1.876010689007429622e-01,1.593588636150840843e-01,2.505304918157899227e-02,1.243945241445246382e-02,6.192458952225680978e-04
1.114935874938964844e-01,1.931678024431172647e-01,2.018742078387859296e-01,1.665004992023187413e-01,2.553296271774527920e-02,1.690613919987458968e-02,5.669172802555521706e-04
1.214985847473144531e-01,1.476039392224303415e-01,1.885837427820234724e-01,1.436575963283409918e-01,2.435217845697206299e-02,1.271313557510492416e-02,1.919635923604504990e-03
1.274979114532470703e-01,1.616542084764060749e-01,1.961286602368626231e-01,1.933094388899258831e-01,2.579970723054364826e-02,1.410078803482193131e-02,4.218891644884307200e-03
1.370210647583007812e-01,1.156670380800617209e-01,2.431766031489312752e-01,1.946540341957084252e-01,3.239066009734147683e-02,8.629031814411531817e-03,2.137171562888440061e-03
1.440122127532958984e-01,1.395126203795771513e-01,2.306730362129205958e-01,1.395069090901486786e-01,3.093851017476136750e-02,9.980996905654482623e-03,5.171214208120033726e-03
1.542048454284667969e-01,1.274676363036262583e-01,2.146438953977001518e-01,1.316189871547763235e-01,3.025221030691038065e-02,9.092238050977327277e-03,5.579775834972474334e-03
1.702167987823486328e-01,1.200704820848561838e-01,1.982799426362300832e-01,6.921785371457739311e-02,2.807773831028595804e-02,7.700924859454616467e-03,7.153042252259019310e-03
1.772274971008300781e-01,1.424723685980014976e-01,1.948577295415304944e-01,6.171111746625115163e-02,2.672415664001768359e-02,1.050167431914606625e-02,8.400455762986572608e-03
1.854753494262695312e-01,1.439482333530251734e-01,1.441160313045794228e-01,3.603157497141491056e-02,2.007690142507320349e-02,9.939211553437694857e-03,9.325317100995577854e-03
1.933643817901611328e-01,1.021753959595372435e-01,8.671874733777494570e-02,2.133782806850158947e-02,1.420352507271254935e-02,5.806948343132016001e-03,7.947911205184314196e-03
2.013640403747558594e-01,1.234621727641628808e-01,1.287122067583524598e-01,5.674643496648693747e-02,1.929178734834445519e-02,7.750866113042498458e-03,7.767863928458658765e-03
2.083635330200195312e-01,1.085874950324208499e-01,1.410638755576641701e-01,3.347628207754217017e-02,2.105993596358194178e-02,5.776805615548186515e-03,8.134628444926997673e-03
2.174119949340820312e-01,1.709753428532315156e-01,1.655019063723836836e-01,1.062002471854531366e-01,2.418282498686833218e-02,1.194968185065915095e-02,8.013326733960454348e-03
2.248165607452392578e-01,2.060089409861267373e-01,1.897211230205812227e-01,8.937695017145680376e-02,2.588824899000344640e-02,1.441083913132330460e-02,1.002013876077209424e-02
2.333590984344482422e-01,2.045144229271826930e-01,1.829496635068385557e-01,3.131044686213021316e-02,2.546150153446523345e-02,1.498808833743527948e-02,1.031859556834793280e-02
2.403600215911865234e-01,2.218709388269553273e-01,1.655970934085601587e-01,9.660832361543730817e-02,2.375829947268475947e-02,1.531712709535438394e-02,1.043228377287184865e-02
2.494866847991943359e-01,2.338693366558892706e-01,1.401251266563728337e-01,8.344417900090141116e-02,1.879084275525606459e-02,1.692907181230764169e-02,1.125904816839254537e-02
2.564833164215087891e-01,2.811198277488233255e-01,1.074358741520057975e-01,3.354828362582770035e-02,1.529722425540883286e-02,2.155040966339220529e-02,1.298450063456713793e-02
2.654833793640136719e-01,2.929173599550037865e-01,1.182169062430820788e-01,1.911372539419223596e-02,1.593653038509152894e-02,2.314706687036111390e-02,1.278175256151701904e-02
2.714836597442626953e-01,2.461892789060272091e-01,1.558827191445099486e-02,4.388609763491757576e-02,3.983859107554602562e-03,1.627114491598571216e-02,1.082597028667884979e-02
2.815055847167968750e-01,2.348478017876928503e-01,1.066125210169275271e-02,8.288397949934278586e-02,1.286600869564225090e-04,1.360337904034564574e-02,9.336405962576217396e-03
2.875142097473144531e-01,2.659484444555287319e-01,2.603877937563320658e-02,1.243411132453092621e-01,4.079778177247739106e-03,1.651151929980218189e-02,6.325299432680046678e-03
2.974996566772460938e-01,2.476992226098463645e-01,4.835674960131371158e-02,1.829966438626558500e-01,7.900914011420685779e-03,1.364440768182976528e-02,5.852059562015835513e-03
3.036868572235107422e-01,2.920949175637556072e-01,6.882488716206154600e-02,2.271100559434948707e-01,1.071670334256751358e-02,2.077576215331375029e-02,3.422105306954392832e-03
3.135089874267578125e-01,2.991917389407096062e-01,1.024743494639916291e-01,2.943933799872771595e-01,1.418066666261310650e-02,2.420181019257025209e-02,7.733783196220859156e-03
3.195116519927978516e-01,3.582252733565159386e-01,7.309722330628147524e-02,2.413846844079439447e-01,1.095047670063997031e-02,2.803867620835438432e-02,9.173329670600397293e-03
3.284990787506103516e-01,2.807205944039282142e-01,6.879577267719412526e-02,2.738271860261943802e-01,8.906618251138335648e-03,2.023523262727748920e-02,7.723950608659313315e-03
3.356604576110839844e-01,1.978540590839370228e-01,9.960445894940524181e-02,2.489297036284568720e-01,1.282644457463894341e-02,1.142244574879954476e-02,9.520443585106974985e-03
