time,fx,fy,fz,mx,my,mz
2.813673019409179688e-02,3.033919137892837712e-03,1.779531831876492165e-02,3.478895333803535411e-02,1.729530991761644553e-03,3.485897867234300060e-04,2.014650707683000516e-03
3.213238716125488281e-02,1.629763537103331647e-02,5.459748181556136476e-02,3.039966061321971655e-02,7.295688126690554574e-03,1.889829586374454839e-03,1.669699928900432884e-03
3.814125061035156250e-02,9.137547545964016388e-03,7.905364274368054112e-02,7.405102639603455481e-03,1.000096817987774535e-02,1.019068333115669090e-03,2.398499066686247353e-03
4.813218116760253906e-02,4.766907694571761132e-03,7.771207375549475660e-02,3.331627899198726529e-03,1.137569285873307051e-02,1.226846128619429963e-03,2.009673498131281464e-03
5.413198471069335938e-02,4.908497109907467709e-02,7.859218204155477006e-02,1.189271888689091925e-03,1.229746231558799183e-02,5.185978453896034415e-03,5.483905176109378889e-04
6.413197517395019531e-02,8.514356835473874119e-02,6.609614317454107213e-02,1.082477576923629725e-01,1.214988894387616404e-02,9.034052144317709573e-03,1.681289181108228982e-03
7.213282585144042969e-02,1.134698667113056558e-01,5.787965119771835282e-02,4.392988248242986338e-02,1.287439202418513666e-02,1.230361414370720503e-02,4.488499245305070488e-03
8.113217353820800781e-02,1.133523254827697030e-01,4.940049961808578444e-02,7.106525227020223101e-02,1.184504082538359419e-02,1.245767785546235233e-02,3.519384602398408467e-03
8.813238143920898438e-02,1.258775747707964743e-01,2.593039781116649248e-02,6.058672692290253958e-02,9.649088083548385333e-03,1.259866139563340683e-02,5.272906796059547221e-03
9.613251686096191406e-02,1.225924832779289458e-01,1.245710422781722178e-02,5.967980103772844991e-02,7.553827811406913818e-03,1.342225147440037104e-02,5.052756854648950829e-03
1.021332740783691406e-01,1.360200702504155146e-01,3.804863952307234454e-02,5.962972753128496783e-02,1.082821712480826724e-02,1.601126691305741756e-02,5.028339262834361639e-03
1.122138500213623047e-01,1.475548387706522024e-01,2.883023092415726296e-02,5.107237325439654974e-02,1.153094501095808938e-02,1.869850458376799696e-02,4.447719510099294553e-03
1.202158927917480469e-01,1.504341991011853563e-01,9.912983685538752712e-03,7.787092526404913728e-02,9.076498610850100221e-03,1.727084622783900056e-02,4.040826298857499478e-03
1.282134056091308594e-01,1.242873857125006282e-01,4.868069873514476180e-04,1.903080596466798224e-02,9.824893448850246375e-03,1.378784577342715388e-02,2.670860318918692397e-03
1.342151165008544922e-01,7.980632039652171827e-02,4.307132469725966778e-02,1.067194516536484200e-02,4.341381220926976425e-03,8.759285791449059402e-03,1.157096307910151188e-03
1.442134380340576172e-01,7.981787746541980921e-02,8.619710431483298962e-02,2.189377048808770210e-02,1.569956213876011475e-04,7.939607579369371490e-03,6.207678767135830665e-04
1.502132415771484375e-01,6.809010400736272006e-02,8.208855243788613920e-02,1.687642977900386324e-02,4.985036550862650398e-04,5.986071017769401328e-03,7.678980735605615447e-04
1.602139472961425781e-01,5.610693614475922852e-02,3.267056747101595993e-02,1.311271842611934791e-03,4.805961411090286899e-03,5.602612592449008125e-03,2.161764673974842128e-03
