time,fx,fy,fz,mx,my,mz
5.208134651184082031e-02,4.660087784861607213e-02,8.517178199033660635e-02,2.780836801460608715e-02,9.410968437157111316e-03,7.481579917000491520e-03,7.114769982412043163e-03
6.107091903686523438e-02,1.706579704994012903e-01,1.844526844353580886e-01,4.960393593908633825e-02,2.104470893129200063e-02,2.180135659824471508e-02,1.903647282667518537e-02
6.952071189880371094e-02,2.645725476357299044e-01,2.725243805555062071e-01,9.193014328931070969e-03,3.026368176001851748e-02,3.482654026605144781e-02,2.550252292189907413e-02
7.900834083557128906e-02,3.744144055827888229e-01,3.560624525934699136e-01,9.487698948323479778e-03,4.000702572471261792e-02,4.993932746016376684e-02,3.464880839601060247e-02
8.800983428955078125e-02,4.708186990445407671e-01,3.867855090208749402e-01,4.414807980408733817e-02,4.464425481746060742e-02,6.292757245486764461e-02,4.609444082696006334e-02
9.700870513916015625e-02,5.492199458497493136e-01,4.712601038104817230e-01,6.412304985098486731e-02,5.544190664970773813e-02,7.382503031721875109e-02,5.532481286037308627e-02
1.080150604248046875e-01,6.172346082481244833e-01,5.244961244920882670e-01,7.634650313087784634e-02,6.104717903316731614e-02,8.446376414103608232e-02,6.624906613095019048e-02
1.175575256347656250e-01,6.860690078501491262e-01,5.595785708160752048e-01,1.413056596584813807e-01,6.590147721985051277e-02,9.350973998413869559e-02,7.700147690880206064e-02
1.279802322387695312e-01,7.409383670531483057e-01,6.501057584688988422e-01,1.768373837447069774e-01,7.572398568606247826e-02,1.020192745743590396e-01,8.684005206278491706e-02
1.359806060791015625e-01,8.465619710235695594e-01,6.685371691012065298e-01,1.395358422204608928e-01,7.678218912796311302e-02,1.164394453969108262e-01,9.713511533576811574e-02
1.450066566467285156e-01,9.162020592340439640e-01,7.673632629622104684e-01,2.163282529884156813e-01,8.874641200542156272e-02,1.269131420181431880e-01,1.042094366196820443e-01
1.540224552154541016e-01,9.902742331608280768e-01,8.328504353692219864e-01,2.210996754443146639e-01,9.683815792139581491e-02,1.382313748769203876e-01,1.113425520420525949e-01
1.619801521301269531e-01,1.075503671211615275e+00,8.821358927929546789e-01,2.548133498002542185e-01,1.012245436041829122e-01,1.489310998318922330e-01,1.207322276783318882e-01
1.729810237884521484e-01,1.138323183327080379e+00,9.466751754538444974e-01,2.694566657801533149e-01,1.059001033643932332e-01,1.569567795671129307e-01,1.292121678692413345e-01
1.829881668090820312e-01,1.180954051430735285e+00,9.656258885618299592e-01,2.532464234387051816e-01,1.071930142654904244e-01,1.642758123700152895e-01,1.369859635609755044e-01
1.919801235198974609e-01,1.280496994794725119e+00,1.019055509654373859e+00,2.961467464762035373e-01,1.132723460741717203e-01,1.794160703026050629e-01,1.431418102338858078e-01
2.010159492492675781e-01,1.369661496923396671e+00,1.078299024810183360e+00,3.185821217002434702e-01,1.197543672172724227e-01,1.934157012910083795e-01,1.515019570232199186e-01
2.089819908142089844e-01,1.458974758274803607e+00,1.131767845765538461e+00,2.987105024897352967e-01,1.259831730899273750e-01,2.053815917164231175e-01,1.587830044247884598e-01
2.185428142547607422e-01,1.527340504921709696e+00,1.197469414776257235e+00,2.905309844189789548e-01,1.319665944216446563e-01,2.153539590097243717e-01,1.669013218151471634e-01
2.274856567382812500e-01,1.677722789139909132e+00,1.284069685654649629e+00,2.744421074302323404e-01,1.408532643150545993e-01,2.313511544789839947e-01,1.754987450148302597e-01
2.364852428436279297e-01,1.721817059048816878e+00,1.363752738355959560e+00,2.675680548932997116e-01,1.484441229406522622e-01,2.373168763489073851e-01,1.861919702355377682e-01
