time,fx,fy,fz,mx,my,mz
5.000114440917968750e-02,5.204544851253937315e-03,3.254234421443603226e-02,5.458473633120443369e-02,4.557031837834971989e-03,5.074799118772658872e-04,2.859462904829109323e-03
5.303716659545898438e-02,2.008241613881172824e-02,5.060969705198961610e-02,5.163771968408094326e-02,7.956929344475819135e-03,2.255558963920526686e-03,3.079157160220565449e-03
6.210136413574218750e-02,1.740401471235178757e-02,3.870630132620078885e-03,8.442920501917210163e-02,2.703579806539598354e-03,1.548362490100159850e-03,3.146608472172178050e-03
7.215595245361328125e-02,6.616941563756739697e-02,5.209291927102460001e-02,9.349055770851938396e-02,5.282243363824967383e-03,6.482348007978503898e-03,5.543821253877201372e-03
7.978868484497070312e-02,4.850453500714356492e-02,2.806718612967481694e-02,5.903811420618818029e-02,3.804141659055027165e-03,3.800122622531369298e-03,7.190553620428108764e-03
9.578967094421386719e-02,7.480024754410881382e-02,4.695508835132547465e-02,9.815043668409657862e-02,6.917082116697000765e-03,4.374780151417597199e-03,1.209610583360038946e-02
1.057889461517333984e-01,6.224153111270804006e-02,1.774458088817378043e-02,7.984909200331340162e-02,2.996458521267383011e-03,1.694910352539495202e-03,1.268230890780636458e-02
1.167891025543212891e-01,3.639992548373550962e-02,9.166016311251705753e-03,1.590984083187696740e-01,3.431020591211601280e-03,7.232988516903867673e-04,9.720222830568451405e-03
1.287882328033447266e-01,8.369759134538886161e-03,1.398290952234901817e-02,1.429237659032537577e-01,1.240439916492874729e-03,5.326012049083509586e-03,1.244820667459813242e-02
1.387901306152343750e-01,3.511161457064915226e-02,3.117986993521621245e-02,1.492036880139953892e-01,7.011586682699781029e-04,7.442079457899675524e-03,1.227409633830651645e-02
1.467885971069335938e-01,5.706744273928142375e-02,2.767221363637114781e-02,1.513814407274703400e-01,5.177145293081804669e-03,1.004572030796197987e-02,1.299808756049074601e-02
1.557924747467041016e-01,7.611818631338469754e-02,9.721723135932809970e-03,1.698918165895695609e-01,1.107160691244975801e-03,1.146587743304163139e-02,1.349124341792234602e-02
1.637909412384033203e-01,7.487568022145320301e-02,8.062564427002408621e-03,1.860636290502817869e-01,3.305242766599588398e-03,1.233533891240538340e-02,1.180213446313032113e-02
1.743259429931640625e-01,7.521994461086288497e-02,1.390418474590925796e-02,1.933924626599863583e-01,3.422187813848450149e-03,1.330156598170882491e-02,1.145483811678012741e-02
1.823086738586425781e-01,1.061287253706521966e-01,2.553135211963280041e-02,2.955289805250255197e-01,5.197124548108907234e-03,1.660180287536928284e-02,9.734441814940823084e-03
1.923091411590576172e-01,1.117086671221239613e-01,1.002972360138680141e-03,2.791050574392116568e-01,1.632843930585418544e-03,1.743529083102957067e-02,1.029621191695426034e-02
2.003097534179687500e-01,6.922837002897068437e-02,2.662779624270636067e-02,2.656523143415877031e-01,1.912455743326664948e-03,1.230450574577687632e-02,9.497521094354288360e-03
2.093076705932617188e-01,7.678587819498167155e-02,2.718820575091787997e-02,2.898997320520145249e-01,3.954753815291016210e-03,1.501560976617146749e-02,9.059080895023911492e-03
2.183079719543457031e-01,5.150465267850326545e-02,6.217021334632732987e-02,3.221061967766677414e-01,8.518854705832860225e-03,1.017966202259758431e-02,1.221326059896245438e-02
2.263083457946777344e-01,4.737556561355826118e-02,1.949696220444110256e-02,2.963534490720209358e-01,4.908883299348272902e-03,1.258638471805825602e-02,1.250976305093858335e-02
2.354910373687744141e-01,1.716000384887692715e-02,2.019307608553049319e-02,2.195801568914390600e-01,5.165337703374166083e-03,5.459061293574304051e-03,1.447032167836099711e-02
2.455370426177978516e-01,7.793359243229976661e-03,3.157056908803165807e-02,1.291410603259007528e-01,7.684260918521109048e-03,8.166599634374389904e-03,1.162496742875842627e-02
2.544908523559570312e-01,1.489480868825126050e-02,7.355077426075334879e-02,6.547738183928851485e-02,1.284277608691570052e-02,7.522051299978649644e-03,1.367614106707099389e-02
2.635846138000488281e-01,2.370209407116353334e-02,1.283866367333734160e-01,6.449422217157092796e-02,1.922938064703749034e-02,6.086548671044352682e-03,1.496181803811779537e-02
2.715849876403808594e-01,2.458937972346220135e-02,1.586003650928745345e-01,3.507761427634505796e-02,2.285093846499470019e-02,6.551270455016933517e-03,1.634977482323291334e-02
2.820951938629150391e-01,1.933097001640409970e-02,1.726895135443688445e-01,2.855323176801742233e-02,2.384668286123901165e-02,8.719154746481889984e-03,1.836195742943652967e-02
2.900891304016113281e-01,3.078339310536411591e-02,2.128237912463812054e-01,1.958708031553655499e-02,2.718837025076936698e-02,6.994549759568998056e-03,1.619440837737410807e-02
2.990906238555908203e-01,8.444797123186376098e-02,2.097608863984149197e-01,6.221010193989921257e-03,2.680515527380122193e-02,1.844011276490631389e-03,1.906010761639263112e-02
3.080890178680419922e-01,6.483839718572757815e-02,2.035867559172928054e-01,3.957992311225169008e-02,2.553940385689289910e-02,3.295913288801773436e-03,2.009188560298570680e-02
3.170900344848632812e-01,3.516903830469739201e-02,1.775170301039693810e-01,2.716095938902564344e-02,2.213648285139816277e-02,8.099330120618844844e-03,2.060875967596408065e-02
3.260898590087890625e-01,3.788127298605795806e-02,1.590573686279914967e-01,5.885423614195725572e-02,1.928053208338577351e-02,8.051867982227766882e-03,1.934539204911501359e-02
3.351533412933349609e-01,2.971511903695353216e-02,1.275112331568162005e-01,3.227597799226889635e-02,1.496420564939414215e-02,7.392531818194392375e-03,2.100985734571635816e-02
3.441441059112548828e-01,4.655745393005380171e-03,1.895814175197159668e-01,3.849064970507593691e-02,2.112367698591744586e-02,9.634780418759017820e-03,1.925413572645003416e-02
3.540890216827392578e-01,2.981287665457443923e-03,2.309443271884613069e-01,4.816365958744721169e-03,2.841803486636956463e-02,9.821444033460894132e-03,1.639381668063049843e-02
3.621809482574462891e-01,1.515162404963893081e-02,2.397743626496046943e-01,7.730093630001254323e-02,3.334143801116334210e-02,7.005680686890736371e-03,1.542313283215775675e-02
3.711812496185302734e-01,1.301241516658180331e-02,2.143214751120386952e-01,4.685132014073758316e-02,3.086228745835744788e-02,9.154318056417930921e-03,1.287283103222976698e-02
3.808178901672363281e-01,1.500423880840884251e-03,1.576292511154188392e-01,6.977501876494424105e-02,2.399305622454856249e-02,7.140084589428423271e-03,9.998682021771039888e-03
3.898348808288574219e-01,8.204228054892628852e-02,1.729906429125421252e-01,1.263163853856497044e-04,2.860943546489173525e-02,1.018389502808577296e-03,1.466670866309719053e-02
3.978183269500732422e-01,8.038339346561494680e-02,1.749965058481275093e-01,4.495580131020725928e-02,2.687245744361401595e-02,3.946328014535390176e-04,1.423061424690702167e-02
4.068176746368408203e-01,1.387699239321731060e-01,1.825329984311778730e-01,8.283241546280327439e-02,2.745741297430175434e-02,4.217063386315962788e-03,1.593747557779291030e-02
4.158177375793457031e-01,1.435138608527291582e-01,3.089720285895249385e-01,1.037913645317874028e-01,4.191303518628793079e-02,3.858320295194165705e-03,1.641451808319155034e-02
4.238171577453613281e-01,1.939378334156955930e-01,2.815379906252407638e-01,7.644642447543788244e-02,3.914116494205348296e-02,9.129684181686685551e-03,1.483132695837223805e-02
4.338178634643554688e-01,1.836142993908929100e-01,2.736457430021057013e-01,1.299913248667058097e-01,3.645382756688118203e-02,8.888361852839905472e-03,1.479105102846956649e-02
4.428174495697021484e-01,2.097015617570110180e-01,3.191805933219825642e-01,1.795278866346286806e-01,4.166395706631445539e-02,1.306737616601461732e-02,1.635782322640516248e-02
4.518172740936279297e-01,2.286655501602477270e-01,2.908171294341239110e-01,2.541725328800337191e-01,3.928653618767317252e-02,1.423903807911011156e-02,1.973629772390122702e-02
4.598388671875000000e-01,1.969244527751276563e-01,2.768919438887479378e-01,1.995362993294923226e-01,3.569933075949395518e-02,1.259266581937864941e-02,1.787517989181097028e-02
4.688210487365722656e-01,1.820583518125346301e-01,2.881018271609699921e-01,1.479822396595167899e-01,3.694866463784526184e-02,1.022165044461877982e-02,2.149386606002455513e-02
4.773695468902587891e-01,1.110768413613340555e-01,3.046865838184951714e-01,1.552612216327351746e-01,3.764548879947244436e-02,5.438075406469640612e-03,1.857236546613063449e-02
4.873704910278320312e-01,1.036457591372098308e-01,2.969752625562321890e-01,2.363900633307108590e-01,3.717558329189086380e-02,1.305652240750395342e-03,1.676984386751857736e-02
4.953935146331787109e-01,6.306031366820073758e-02,3.947382649997573933e-01,1.946033338449903172e-01,4.807042222263066544e-02,1.283573702830912702e-03,1.984237929316002430e-02
5.033698081970214844e-01,3.545758986793075274e-02,3.823886335514619650e-01,1.589167994794583594e-01,4.492138970646960411e-02,1.031471475265210991e-02,1.584601554144892538e-02
5.123693943023681641e-01,3.553495631368003976e-02,3.493994363397281977e-01,1.036384998086416487e-01,4.186701459751619725e-02,1.021781093304727044e-02,2.203277878537828263e-02
5.219175815582275391e-01,5.081063332381295650e-02,3.215717636631410525e-01,7.739128640593359587e-02,3.866180647750253746e-02,9.251078366484428994e-03,2.236387510380158719e-02
5.301878452301025391e-01,3.181878712253289471e-02,3.052511341111303067e-01,1.243787269327749356e-01,3.755811302218112213e-02,7.959167759169539363e-03,2.082848018302994181e-02
5.402767658233642578e-01,3.329440876474170502e-02,3.389495593932778661e-01,1.568079497262753474e-01,4.341051572060052738e-02,6.613202724356614937e-03,1.893857815091982283e-02
5.491893291473388672e-01,6.145300281105197521e-02,3.394565469608944452e-01,8.062354821820297279e-02,4.391135431637872844e-02,9.185613724112492648e-03,1.736326076891707079e-02
5.571880340576171875e-01,1.001936447669512092e-01,3.225407687989824690e-01,9.012379010668046531e-02,4.329861007348393548e-02,1.436640373819664945e-02,2.207222905028207588e-02
5.661993026733398438e-01,1.823566836165760319e-01,3.548686664029707116e-01,7.797878081492916336e-02,4.687984062312248318e-02,2.433367084951177511e-02,2.175220707869288464e-02
5.757019519805908203e-01,1.846503866497724855e-01,3.532162430770843797e-01,1.117384622126943797e-02,4.616650928123663955e-02,2.538653237084534733e-02,2.088066512083089701e-02
5.857191085815429688e-01,1.169741849023111513e-01,3.884187514913193806e-01,8.277718993696675520e-02,5.127732993906632120e-02,1.603431955122718369e-02,2.006183629924029183e-02
5.937087535858154297e-01,1.558964598969832249e-01,3.757318743961808871e-01,9.590155115354075110e-02,4.873324887469312333e-02,2.106968098644380200e-02,1.660830074642409213e-02
6.027019023895263672e-01,1.655698303434182950e-01,3.613790515588419794e-01,6.707841419245970382e-02,4.563085956594133130e-02,2.251966799519999896e-02,1.452346052641149791e-02
6.127035617828369141e-01,1.679417670310741073e-01,3.385744832055896381e-01,1.564250571167417891e-01,4.567896590550001718e-02,2.426582749855753923e-02,1.774583535131393081e-02
6.207022666931152344e-01,2.317530716212753417e-01,3.638564407739025564e-01,1.517948516706598694e-01,4.840984515813542832e-02,3.036222887178801136e-02,1.948092756758777744e-02
6.297023296356201172e-01,2.274800404782657270e-01,3.178584788539789430e-01,2.409572846014472192e-01,4.098850225912625128e-02,3.004954290615547557e-02,1.759838173431703401e-02
6.377029418945312500e-01,2.624077173502828431e-01,3.942431777632535161e-01,3.477108436623183030e-01,5.061821587717438287e-02,3.208837264243018239e-02,1.641932933457757038e-02
6.477038860321044922e-01,2.344983129759519724e-01,3.608075730844887974e-01,3.251408164776135035e-01,4.686071598261545151e-02,2.968441691180007461e-02,1.938037521074768496e-02
6.557021141052246094e-01,3.411673207799568730e-01,2.737628195499918204e-01,2.707465194353320670e-01,3.480515238037925480e-02,3.958219072787906578e-02,1.703288090131779495e-02
6.647160053253173828e-01,3.288438520605702076e-01,1.986479712301938150e-01,2.446975757867294876e-01,3.085322316973755294e-02,3.910175289743519217e-02,1.633176619699183013e-02
6.742193698883056641e-01,3.788545052489993847e-01,1.533846898874856035e-01,2.141702070765132138e-01,2.721159293518079711e-02,4.364774265263049458e-02,1.278295785004250965e-02
6.832213401794433594e-01,3.665731791845599497e-01,6.716521412020076687e-02,1.762868150016740632e-01,1.478480285482550692e-02,4.185013449652263268e-02,1.070041910334134164e-02
6.922221183776855469e-01,4.218999712829718529e-01,1.085627710876195876e-02,2.558959483116772793e-01,9.070686384392168816e-03,4.968481601941056314e-02,1.306726108295988738e-02
7.012214660644531250e-01,3.643032005479326929e-01,4.639692569980553849e-02,2.684229341094012677e-01,1.558114077198074696e-02,4.594704759729861115e-02,1.657962618408208647e-02
7.113068103790283203e-01,3.990746122224197445e-01,2.794571078482022131e-03,1.892290575465118141e-01,1.031785767211855324e-02,4.936889577550510749e-02,1.144462596965912377e-02
7.222218513488769531e-01,3.631434079372961032e-01,2.214909520538176080e-02,1.938450228718622270e-01,1.274174640955395149e-02,4.553288030274242615e-02,1.185815310982009547e-02
7.292392253875732422e-01,3.366057513116250677e-01,2.637010806691743314e-02,1.767479642342429658e-01,1.446064072625474067e-02,4.400946980214322929e-02,1.112254963624591080e-02
7.382228374481201172e-01,3.750574010040878536e-01,9.949698735907001879e-03,2.303658486677361283e-01,9.105601841948996258e-03,4.813879489339278200e-02,1.236688539344255738e-02
7.472212314605712891e-01,2.595454427629789729e-01,1.707267799882004194e-02,2.377419600523609233e-01,7.226968913836924815e-03,3.590959427831583173e-02,1.635836654192080603e-02
7.573125362396240234e-01,2.539792943756024046e-01,2.099307185161288988e-02,1.382111819988016410e-01,5.200135862604149395e-03,3.386709026319551646e-02,1.306527500429338282e-02
7.653362751007080078e-01,2.512060937117032156e-01,1.001806622925878743e-01,1.613554237511998224e-01,5.375965869103893797e-03,3.537720158844168128e-02,1.033018779908590618e-02
7.748408317565917969e-01,2.616967283640384556e-01,7.190352359742556432e-02,1.784049767492864591e-01,5.897556643622200030e-05,3.565309326892445591e-02,1.592088540397882529e-02
7.848758697509765625e-01,2.243185761184086913e-01,5.488332974229403333e-02,1.469665444900378759e-01,1.812332494641211069e-03,3.255157203173322106e-02,1.453162356008460242e-02
7.928409576416015625e-01,2.180786039959279887e-01,5.552383022707800542e-02,2.512085776375035454e-02,4.416748554453064695e-04,3.381700225562338930e-02,1.166408128986424694e-02
8.038406372070312500e-01,2.294977985993512104e-01,4.303805250312109365e-02,2.746228925332848403e-02,1.294639881775753532e-03,3.457170183315370904e-02,1.570872345262349160e-02
8.128962516784667969e-01,2.303684508069757386e-01,6.991058205686613569e-02,5.916022817572941933e-02,2.810143179444146797e-03,3.514891485914263536e-02,1.358877704982188774e-02
8.228430747985839844e-01,1.827516202149818414e-01,7.243627305087822071e-03,9.767993107714521839e-02,4.481571994248826664e-03,2.845894645633336925e-02,1.446847750451896175e-02
8.308413028717041016e-01,1.815931174992234387e-01,5.364859794710857138e-02,1.064565923535845116e-01,5.275294316237596256e-04,2.913632710380575225e-02,1.196531079667786414e-02
8.398408889770507812e-01,1.443109475694773491e-01,2.113567337374888720e-04,4.625650278050699032e-02,6.036741445666808127e-03,2.351733786581888808e-02,7.223448625878840443e-03
8.488426208496093750e-01,8.190734226968957032e-02,2.600069861394160853e-03,3.133218969738749138e-02,6.685903508952388032e-03,1.718436649270997305e-02,8.034750416313836061e-03
8.578407764434814453e-01,1.032468855683203457e-01,2.510763693043335126e-04,1.178497555332479324e-01,6.902723939213355024e-03,1.990404076799851332e-02,8.077774116735447069e-03
8.679554462432861328e-01,9.732932648119193425e-03,6.763894078917095411e-03,1.151536575870750340e-01,8.444472766340520298e-03,6.332061765467233809e-03,1.193821802850633489e-02
8.765802383422851562e-01,2.555027170990769106e-02,5.520939204575512488e-02,5.883838324746927528e-02,1.562766861106202471e-02,9.866297650649332590e-03,1.215120634065870037e-02
8.855717182159423828e-01,6.536565356088175696e-03,8.537304668073014691e-02,8.360537550342167501e-02,1.617309169433263707e-02,6.928884052402410273e-03,1.153724231348540741e-02
8.935492038726806641e-01,5.555618455048592919e-02,9.730098932654650257e-02,4.176779164807247618e-02,1.639377218132480676e-02,1.450875401908587482e-03,1.217914926578488738e-02
9.035508632659912109e-01,1.117114975311165465e-01,1.333198029325705081e-01,8.112527497629215545e-02,1.945402466440076736e-02,5.165098342280271745e-03,1.493138206063456506e-02
9.115490913391113281e-01,1.633173101692292906e-01,4.148346808296091842e-02,1.985355156584416025e-01,1.010240239070624851e-02,1.014831409999361611e-02,1.641304746444067000e-02
9.215507507324218750e-01,1.115421240032598432e-01,1.142378858804098257e-01,1.545751504295345968e-01,1.821422912927683768e-02,5.327991486568883946e-03,1.581209943497135020e-02
9.295496940612792969e-01,2.038897436594633572e-01,1.769692775832159837e-01,3.337666737188674237e-02,2.641989199548812339e-02,1.464867730845367290e-02,1.603643390509990746e-02
9.395513534545898438e-01,2.322172600211634685e-01,2.152775420496477465e-01,1.152344439033091278e-01,3.054226119576538070e-02,2.022346163983068656e-02,1.176797685642781525e-02
9.485545158386230469e-01,2.318809857712355038e-01,2.520415946787721850e-01,2.666631048578859547e-02,3.333164152728631396e-02,1.888464254461062058e-02,1.623100033420198790e-02
9.585509300231933594e-01,2.371006865726277002e-01,2.398094754695838104e-01,5.595905237921409286e-02,3.405298082398585530e-02,1.850243548544052569e-02,1.575993388369270956e-02
9.675524234771728516e-01,2.935049650751319628e-01,2.837167535995632761e-01,1.325835613102585853e-01,3.812684932119759368e-02,2.561983394540085293e-02,1.659431514198582425e-02
9.760549068450927734e-01,2.406424611661423796e-01,3.018363988075606352e-01,2.209133246892491798e-01,4.040554440470630476e-02,2.157358021093996533e-02,1.802428252900334371e-02
9.850573539733886719e-01,2.518008600660432417e-01,3.334935380203958855e-01,1.016087064772994153e-01,4.405603896227816563e-02,2.132557734379227771e-02,2.272769187913916550e-02
9.930560588836669922e-01,2.532592158186654507e-01,3.537688621828702362e-01,6.450910173279141013e-02,4.508614078325130087e-02,2.198084931649263787e-02,2.351884777384603137e-02
1.006057500839233398e+00,2.728749601887595078e-01,3.730457207395038721e-01,3.668367343838336431e-02,4.785684144610927865e-02,2.374707065457699537e-02,2.683906549965430627e-02
1.014055252075195312e+00,2.982240503479545168e-01,3.611656192239100505e-01,1.873810992713581883e-02,4.758482140657763898e-02,2.497577594369678952e-02,2.397560260825016415e-02
1.024055242538452148e+00,2.672273699847122486e-01,4.214786283980416215e-01,5.240836277121966452e-03,5.574850885609373280e-02,1.977596239547646170e-02,2.347617079055298178e-02
1.032055139541625977e+00,2.747247421544509738e-01,3.976310311764867378e-01,1.176872850897178573e-02,5.384901779641999148e-02,1.883581064588592258e-02,2.975228299678661301e-02
1.041055679321289062e+00,3.123316565065254458e-01,4.260256679397789181e-01,4.121686534804709645e-02,5.772293148845039634e-02,2.251812799537750501e-02,2.687928201905490436e-02
1.051094532012939453e+00,2.816359436302349195e-01,4.397819588602724372e-01,9.347910721064446593e-02,5.801983258772143437e-02,1.927612288672936672e-02,2.219888078595184597e-02
