time,fx,fy,fz,mx,my,mz
2.899050712585449219e-02,1.978801450932792319e-02,9.888278727833228927e-04,1.056743599249898580e-03,1.113393452694152195e-03,5.824746671428589759e-05,3.970566977222652651e-03
3.299045562744140625e-02,3.212470516740850712e-02,4.841693047614512718e-02,3.164548749126083749e-04,4.907148300680516141e-03,2.698590768940670962e-03,9.146950957051026149e-03
3.805518150329589844e-02,1.131942113043158116e-01,9.743807182858338356e-02,7.557248134912697250e-03,1.151929575172202895e-02,1.157622966008743821e-02,1.381198249519483348e-02
4.736185073852539062e-02,1.212857908617423902e-01,1.022186335362761100e-01,7.726084485058255964e-03,1.186081004918264695e-02,1.181869043867553835e-02,1.512246897625768582e-02
5.336070060729980469e-02,1.068561487398129173e-01,1.165503442741278178e-01,1.227527735660108484e-02,1.245732995123732464e-02,1.108996403259482691e-02,1.951817050252494315e-02
6.389665603637695312e-02,1.161628419818187125e-01,1.139103013442176321e-01,5.361397940370574849e-02,1.148659622445915608e-02,1.211995063035447087e-02,2.430025746021226285e-02
7.089328765869140625e-02,1.128496627769269567e-01,9.141968212059291277e-02,6.944672401017608354e-02,8.091851964021163843e-03,1.307715625424110684e-02,2.845727972256999541e-02
7.989430427551269531e-02,1.465358775533633917e-01,1.565827823416195141e-01,2.011256088467282266e-02,1.584503737732839354e-02,1.644669603229086119e-02,3.307722990462558244e-02
8.689355850219726562e-02,2.005682985475268909e-01,2.187659418192126337e-01,2.156651878240794032e-02,2.382374655172050243e-02,2.122485169565878349e-02,3.660055280270403666e-02
9.589362144470214844e-02,2.020575960194826992e-01,2.179651006577136285e-01,5.352449535648062806e-02,2.336721711467960177e-02,2.187405168512146503e-02,3.959867392352605514e-02
1.122553348541259766e-01,2.589176503680603592e-01,2.881704537951458867e-01,5.144803257394651476e-03,3.243221713284268753e-02,2.834359120559663478e-02,4.415048526264553352e-02
1.182472705841064453e-01,3.149488716223116658e-01,3.201160121975907824e-01,3.893580489938367872e-03,3.621956760775623535e-02,3.429768720870883525e-02,4.710877743856173999e-02
1.272470951080322266e-01,3.385187110733188232e-01,3.665051397413345291e-01,4.755050110736481345e-02,4.238340377739770876e-02,3.789277351129024390e-02,5.223662205422005544e-02
1.332468986511230469e-01,3.486014672577171236e-01,4.049678089107866530e-01,5.590973485947590971e-02,4.805467036645533901e-02,3.862517572213472472e-02,5.400485815964189279e-02
1.429266929626464844e-01,3.734818960231345297e-01,4.402873442660109049e-01,4.575585968676610521e-02,5.188176405790307505e-02,4.050632301374156724e-02,5.758649962082827006e-02
1.491761207580566406e-01,4.035718511565217770e-01,4.822043752762340540e-01,8.008225835208028498e-02,5.657628701780919450e-02,4.428571816529196931e-02,5.964677045961182950e-02
1.593680381774902344e-01,4.476892168773082825e-01,4.732177943056721237e-01,5.812545850356964222e-02,5.592584465313479858e-02,4.713475327032258522e-02,6.465219431431191988e-02
1.659102439880371094e-01,4.745241308397968316e-01,4.667643883366044411e-01,1.591619075557252141e-02,5.384802888582485708e-02,4.982598112137590074e-02,6.801426855393692683e-02
1.753318309783935547e-01,4.912079713423512795e-01,5.536410719210692610e-01,9.485699956904624979e-04,6.316934916807805112e-02,5.235655038008311946e-02,6.964627947413555564e-02
1.823320388793945312e-01,5.402342807297462191e-01,5.724110714603114491e-01,1.623393792980370662e-02,6.685819738989155769e-02,5.704364674621423964e-02,7.375878694904360044e-02
1.913630962371826172e-01,6.080862231754188274e-01,6.017361636805171887e-01,2.404451545638934887e-02,7.014188580495481218e-02,6.397759677513911725e-02,7.832002310531561984e-02
1.993625164031982422e-01,6.309042382381561120e-01,6.305231997141977907e-01,5.464185504990150266e-02,7.346460381514816063e-02,6.573244022587933222e-02,8.252596087491823051e-02
2.073626518249511719e-01,6.605898096292206478e-01,6.266921533025372471e-01,9.701830197312753812e-02,7.299612134918956330e-02,6.881612955305169144e-02,8.741338934183298659e-02
2.133626937866210938e-01,7.257152911975207621e-01,6.901446695873620918e-01,2.157493610583098020e-01,8.151145921314663367e-02,7.641929624535073740e-02,9.291983358107523683e-02
2.233629226684570312e-01,7.614575796610699721e-01,7.488017669169124702e-01,2.644068024529244720e-01,8.957074828994174287e-02,8.091021778201380743e-02,9.685338947451813119e-02
2.293629646301269531e-01,8.510062565636893339e-01,7.774832079122381279e-01,3.034703199038804033e-01,9.360215756123616004e-02,8.937358504794284952e-02,1.025857295924650914e-01
