time,fx,fy,fz,mx,my,mz
3.000116348266601562e-02,6.145943857261736837e-02,1.476999971956161062e-03,1.391713849592856461e-02,3.088949629766801546e-04,3.230420945814049816e-03,2.137000860069212041e-03
3.200125694274902344e-02,8.878004318879023637e-02,2.581886250500057753e-02,1.983199334750906841e-03,2.371081128625481503e-03,5.943841780800237021e-03,3.072370233065176582e-03
4.100084304809570312e-02,1.215203121196462149e-01,7.315540575089679587e-02,2.117223388445381785e-02,8.435545880030126051e-03,6.421174152447051489e-03,4.275687954540223143e-03
4.750537872314453125e-02,9.110772807511224869e-02,6.945849311698661099e-02,3.085723780117438295e-02,8.505735099919439421e-03,2.711152350784606750e-03,5.380850425279604457e-03
5.750370025634765625e-02,1.342989786661850926e-01,1.221574114055348076e-01,3.265314035783906804e-02,1.666823659550266401e-02,7.085191627855428470e-03,7.592612576522010139e-03
6.350445747375488281e-02,1.253203059300309063e-01,1.658253560975045671e-01,2.897572672768428462e-02,2.482590173226289706e-02,6.634258083052394471e-03,9.421413200162062282e-03
7.482290267944335938e-02,1.104703230214347798e-01,1.981397110415443197e-01,6.395212595191944460e-02,2.941201594597385449e-02,4.408291558227203123e-03,9.962842247593754058e-03
8.082389831542968750e-02,9.894876688410506049e-02,2.175341265885317454e-01,4.104685070376892786e-02,3.204403161442937603e-02,2.768786068854896688e-03,1.180747192101317539e-02
8.982300758361816406e-02,1.038399103638366766e-01,1.965375592888524980e-01,6.534819299598144948e-02,2.981609108736253330e-02,7.701144742950916111e-04,1.091445491341658247e-02
9.582328796386718750e-02,1.728637740437411197e-01,2.067546569650867694e-01,7.267006830301005194e-02,3.179780959613592167e-02,8.089192112997507442e-03,1.165909034918228074e-02
1.061530113220214844e-01,1.849539780380231035e-01,2.235465457171453008e-01,9.184400440099811658e-02,3.447946872053032907e-02,7.596766501824880717e-03,1.082888960468117966e-02
1.111531257629394531e-01,2.036228103819781865e-01,2.557894454188470723e-01,1.103843872695219885e-01,3.897515482416125110e-02,9.217703702348882880e-03,1.429744785205209860e-02
1.211538314819335938e-01,2.000169801460874308e-01,3.036661833641867703e-01,1.561370470342251793e-01,4.512941546120157604e-02,8.791320791255833461e-03,1.512491380432461410e-02
1.375284194946289062e-01,2.401629899685785718e-01,3.458879106612414711e-01,1.097645080832952147e-01,5.147702038237618460e-02,1.113714136464909535e-02,1.528281087932181065e-02
1.440455913543701172e-01,3.000579183134706174e-01,3.996061338283581899e-01,1.011696176470029684e-01,5.912898983135897457e-02,1.570793599936801815e-02,1.514555273344576208e-02
1.534152030944824219e-01,3.259482224326907818e-01,3.684092471612240849e-01,5.720555899602715322e-02,5.470169905224822604e-02,1.845547908875301568e-02,1.736565896427547454e-02
1.594157218933105469e-01,3.570932278411851346e-01,3.709668574357934401e-01,1.021284264129647540e-01,5.670105092009644632e-02,2.020043501625739743e-02,1.734780606523408583e-02
1.694152355194091797e-01,3.630689197515774569e-01,4.114033792931370836e-01,1.716819916327357587e-01,6.158437263612987628e-02,2.064684850911824299e-02,1.691124887191698678e-02
1.758317947387695312e-01,3.427714143575929517e-01,4.058192752147524174e-01,2.337798105066651033e-01,6.113488404855580566e-02,1.873689446049118384e-02,1.575870374509415195e-02
1.859195232391357422e-01,3.551537857154793421e-01,3.759339733430707153e-01,2.734576259880552862e-01,5.566345919496746425e-02,1.953056687626564952e-02,1.685895326661910471e-02
1.909196376800537109e-01,3.533046987012781193e-01,4.781255730862303266e-01,2.920558453403686028e-01,6.859332425352260287e-02,1.935323314312533544e-02,1.709230799132671272e-02
2.015399932861328125e-01,3.380218440025054005e-01,5.068328671370498917e-01,2.875281076604660480e-01,7.364500892843069135e-02,1.807975420631586019e-02,1.663982648387269878e-02
2.065405845642089844e-01,3.682293913611317526e-01,5.051490967971393742e-01,2.684066775659237347e-01,7.423934186328721985e-02,2.020845887729496443e-02,1.549492380462382142e-02
2.180020809173583984e-01,3.815402580640378516e-01,4.995820953698825173e-01,2.534014960834885533e-01,7.385566958315538388e-02,2.172739752203202424e-02,1.653231647078969718e-02
2.240023612976074219e-01,4.049014349393180168e-01,5.015022911117521520e-01,2.973576556845685670e-01,7.413716749665534567e-02,2.271005395425637272e-02,1.475330131774862073e-02
2.330169677734375000e-01,3.816702785262433562e-01,4.879416383103526988e-01,3.350831041988991954e-01,7.104836420042914824e-02,2.040591316296140253e-02,1.875577302095482110e-02
2.400245666503906250e-01,3.856361815652880609e-01,5.224778505818520324e-01,3.613329002851957683e-01,7.622651787016335168e-02,1.876094634930038085e-02,1.815176355279983153e-02
2.490577697753906250e-01,4.241886873944224479e-01,5.721160307301592640e-01,4.139876875255109612e-01,8.265229225966012894e-02,2.060903691578535799e-02,1.918762903182636564e-02
2.550580501556396484e-01,4.849675789385253233e-01,6.109649958457084029e-01,4.806690055435832165e-01,8.640710501526190079e-02,2.300948436560608032e-02,1.595570398066993578e-02
2.660579681396484375e-01,5.080023921098310025e-01,6.243964479415046176e-01,5.050330221998872160e-01,8.693755135556807678e-02,2.361029841306623925e-02,1.753095194421674247e-02
2.720577716827392578e-01,4.403508861217007020e-01,6.323063353256667130e-01,4.660953335795241514e-01,8.850777085961940294e-02,1.895808487506734502e-02,1.892035822136610076e-02
2.820591926574707031e-01,4.413096611336698172e-01,6.473926530621217923e-01,5.266023930970656908e-01,9.175790203922856714e-02,1.909594947062730197e-02,1.975404517991500089e-02
2.880666255950927734e-01,4.716445363430271098e-01,6.256757861986599334e-01,5.267180286517166854e-01,8.945794557904988842e-02,2.284721429347131086e-02,1.807511298584006665e-02
2.970664501190185547e-01,5.140553756139738528e-01,6.437821652045546683e-01,5.258701438765501779e-01,9.085043603027838366e-02,2.745319602882030988e-02,1.676769000023785663e-02
3.040668964385986328e-01,4.947835057015292359e-01,5.773509422333689134e-01,6.329946276897527868e-01,8.146793218157212524e-02,2.558935131924552561e-02,1.418084788558064170e-02
3.142676353454589844e-01,5.291684644075278499e-01,5.317936007442578550e-01,6.643261928402058869e-01,7.279937077862891348e-02,2.785868299947956428e-02,1.300358039022144786e-02
3.193786144256591797e-01,5.263712040632492206e-01,5.007111156282741948e-01,7.120683208075540005e-01,6.863356303314821494e-02,2.626109337560399160e-02,1.201899339990255590e-02
3.293855190277099609e-01,5.492819143712230900e-01,4.562784143286630067e-01,6.971818262479911876e-01,6.332185537329007574e-02,2.907471714193863438e-02,9.442723733660922034e-03
3.363831043243408203e-01,5.990392064262287652e-01,4.716097002165099417e-01,5.649309192347281572e-01,6.486458122726658504e-02,3.623646842462382306e-02,1.318460404047088266e-02
3.459115028381347656e-01,5.535058276100354169e-01,5.061377211945345955e-01,5.726419533456268418e-01,6.927869579282384949e-02,3.062663583693523567e-02,1.460277661353623878e-02
3.621671199798583984e-01,5.890834658746844088e-01,5.130592364368927738e-01,5.859858008096260340e-01,6.996538785537645411e-02,3.455987698616277970e-02,1.621087701697148872e-02
3.681664466857910156e-01,5.633739563443195264e-01,4.896115745671105746e-01,5.804781520378021753e-01,6.608830126228255886e-02,3.142010326919105617e-02,1.204731459672993450e-02
3.771681785583496094e-01,6.087521436014143861e-01,4.868453906838354217e-01,5.855982355480772172e-01,6.693378770001583156e-02,3.443791027689481477e-02,9.858593115338572591e-03
3.831665515899658203e-01,5.838047614751303849e-01,4.609215964373736818e-01,5.186856941438006130e-01,6.400772285389469407e-02,3.301830519983146167e-02,1.102672904705885061e-02
3.941662311553955078e-01,5.066343360323330991e-01,4.050087898288973753e-01,5.414648571202022032e-01,5.558070701446211209e-02,2.564853271734151077e-02,9.015768022671781512e-03
4.011664390563964844e-01,4.926840285744270576e-01,4.331862167251960272e-01,6.219227230989600175e-01,6.035315910774562836e-02,2.293837890090024562e-02,8.473581811206972250e-03
4.101669788360595703e-01,5.131355187578932053e-01,4.390124405485740788e-01,5.395504701780199364e-01,6.030165392261466195e-02,2.603016410897328325e-02,7.724664680321188283e-03
